	title	dose.ch1	iupac.name.ch1	description	cell.line.ch1	treatment.ch1	cas.rn.ch1	Chemical	Dose	sample	size_factors
S87_pool1	Cells, no treatment_0_87	0	N/A	S87_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S87_pool1	1.00967374513216
S88_pool1	Cells, no treatment_0_88	0	N/A	S88_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S88_pool1	1.01573102389224
S100_pool1	BPAF_0.0005_100	0.0005	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S100_pool1	MCF-7	BPAF_0.0005	1478-61-1	BPAF	0.0005	S100_pool1	0.992965305892271
S108_pool1	BPAF_0.001_108	0.001	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S108_pool1	MCF-7	BPAF_0.001	1478-61-1	BPAF	0.001	S108_pool1	1.01260234814023
S116_pool1	BPAF_0.01_116	0.01	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S116_pool1	MCF-7	BPAF_0.01	1478-61-1	BPAF	0.01	S116_pool1	1.00660991109687
S124_pool1	BPAF_0.1_124	0.1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S124_pool1	MCF-7	BPAF_0.1	1478-61-1	BPAF	0.1	S124_pool1	0.999006249614388
S132_pool1	BPAF_0.5_132	0.5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S132_pool1	MCF-7	BPAF_0.5	1478-61-1	BPAF	0.5	S132_pool1	1.02320519256995
S140_pool1	BPAF_1_140	1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S140_pool1	MCF-7	BPAF_1	1478-61-1	BPAF	1	S140_pool1	1.00182008551805
S148_pool1	BPAF_5_148	5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S148_pool1	MCF-7	BPAF_5	1478-61-1	BPAF	5	S148_pool1	1.00135101081573
S156_pool1	BPAF_10_156	10	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S156_pool1	MCF-7	BPAF_10	1478-61-1	BPAF	10	S156_pool1	0.994531067462491
S182_pool1	Cells, no treatment_0_182	0	N/A	S182_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S182_pool1	1.00038528824916
S183_pool1	Cells, no treatment_0_183	0	N/A	S183_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S183_pool1	0.992720831787683
S184_pool1	Cells, no treatment_0_184	0	N/A	S184_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S184_pool1	1.00949483352938
S279_pool1	Cells, no treatment_0_279	0	N/A	S279_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S279_pool1	0.893887165818395
S280_pool1	Cells, no treatment_0_280	0	N/A	S280_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S280_pool1	0.865623250370634
S292_pool1	BPAF_0.0005_292	0.0005	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S292_pool1	MCF-7	BPAF_0.0005	1478-61-1	BPAF	0.0005	S292_pool1	1.02186382095441
S300_pool1	BPAF_0.001_300	0.001	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S300_pool1	MCF-7	BPAF_0.001	1478-61-1	BPAF	0.001	S300_pool1	1.11136028190443
S308_pool1	BPAF_0.01_308	0.01	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S308_pool1	MCF-7	BPAF_0.01	1478-61-1	BPAF	0.01	S308_pool1	0.998216850924415
S316_pool1	BPAF_0.1_316	0.1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S316_pool1	MCF-7	BPAF_0.1	1478-61-1	BPAF	0.1	S316_pool1	1.00378361549196
S324_pool1	BPAF_0.5_324	0.5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S324_pool1	MCF-7	BPAF_0.5	1478-61-1	BPAF	0.5	S324_pool1	1.01510278163483
