	title	dose.ch1	iupac.name.ch1	description	cell.line.ch1	treatment.ch1	cas.rn.ch1	Chemical	Dose	sample	size_factors
S87_pool1	Cells, no treatment_0_87	0	N/A	S87_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S87_pool1	1.0126523102291
S88_pool1	Cells, no treatment_0_88	0	N/A	S88_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S88_pool1	1.0187274581268
S101_pool1	BTUM_0.0005_101	0.0005	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S101_pool1	MCF-7	BTUM_0.0005	151882-81-4	BTUM	0.0005	S101_pool1	1.00474707673177
S109_pool1	BTUM_0.001_109	0.001	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S109_pool1	MCF-7	BTUM_0.001	151882-81-4	BTUM	0.001	S109_pool1	1.00540469861957
S117_pool1	BTUM_0.01_117	0.01	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S117_pool1	MCF-7	BTUM_0.01	151882-81-4	BTUM	0.01	S117_pool1	1.01114008685289
S125_pool1	BTUM_0.1_125	0.1	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S125_pool1	MCF-7	BTUM_0.1	151882-81-4	BTUM	0.1	S125_pool1	1.0134614434156
S133_pool1	BTUM_0.5_133	0.5	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S133_pool1	MCF-7	BTUM_0.5	151882-81-4	BTUM	0.5	S133_pool1	1.02022933874929
S141_pool1	BTUM_1_141	1	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S141_pool1	MCF-7	BTUM_1	151882-81-4	BTUM	1	S141_pool1	1.02925581004161
S149_pool1	BTUM_5_149	5	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S149_pool1	MCF-7	BTUM_5	151882-81-4	BTUM	5	S149_pool1	1.01918125235905
S157_pool1	BTUM_10_157	10	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S157_pool1	MCF-7	BTUM_10	151882-81-4	BTUM	10	S157_pool1	1.02010666395827
S182_pool1	Cells, no treatment_0_182	0	N/A	S182_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S182_pool1	1.00333645214487
S183_pool1	Cells, no treatment_0_183	0	N/A	S183_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S183_pool1	0.995649385327703
S184_pool1	Cells, no treatment_0_184	0	N/A	S184_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S184_pool1	1.01247287083221
S279_pool1	Cells, no treatment_0_279	0	N/A	S279_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S279_pool1	0.896524157347143
