title	dose.ch1	iupac.name.ch1	description	cell.line.ch1	treatment.ch1	cas.rn.ch1	Chemical	Dose	sample	size_factors
S87_pool1	Cells, no treatment_0_87	0	N/A	S87_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S87_pool1	1.01126006783596
S88_pool1	Cells, no treatment_0_88	0	N/A	S88_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S88_pool1	1.01732686333237
S100_pool1	BPAF_0.0005_100	0.0005	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S100_pool1	MCF-7	BPAF_0.0005	1478-61-1	BPAF	5e-04	S100_pool1	0.994525377565336
S108_pool1	BPAF_0.001_108	0.001	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S108_pool1	MCF-7	BPAF_0.001	1478-61-1	BPAF	0.001	S108_pool1	1.01419327204264
S116_pool1	BPAF_0.01_116	0.01	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S116_pool1	MCF-7	BPAF_0.01	1478-61-1	BPAF	0.01	S116_pool1	1.00819142013732
S124_pool1	BPAF_0.1_124	0.1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S124_pool1	MCF-7	BPAF_0.1	1478-61-1	BPAF	0.1	S124_pool1	1.00057581235942
S132_pool1	BPAF_0.5_132	0.5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S132_pool1	MCF-7	BPAF_0.5	1478-61-1	BPAF	0.5	S132_pool1	1.02481277485624
S140_pool1	BPAF_1_140	1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S140_pool1	MCF-7	BPAF_1	1478-61-1	BPAF	1	S140_pool1	1.00339406914835
S148_pool1	BPAF_5_148	5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S148_pool1	MCF-7	BPAF_5	1478-61-1	BPAF	5	S148_pool1	1.00292425747148
S182_pool1	Cells, no treatment_0_182	0	N/A	S182_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S182_pool1	1.00195701763496
S183_pool1	Cells, no treatment_0_183	0	N/A	S183_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S183_pool1	0.994280519361603
S184_pool1	Cells, no treatment_0_184	0	N/A	S184_pool1	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S184_pool1	1.01108087514085
